見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,※～4月26日まで、空調工事のため休館します。,,,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「徳川治宝（はるとみ）が生きた時代」,展示,～3月3日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて！！ヤマゲン先生 (5)万葉歌と古代草木花ガイド,イベント,2月16日（土）10:00～12:00,,小学生以上,30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,館長講座 (4)須恵器の話あれこれ,イベント,3月2日（土）13:30～15:00,,小学生以上,30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,モノづくり体験（ハニワ,イベント,3月2日までの各土曜日13:30～,,小学生以上,各回30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,冬期企画展「岩橋型横穴式石室のはじまり」,展示,～3月3日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,古墳ガイドツアー(2),イベント,3月2日までの各土曜日13:30～,,小学生以上,各回30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,熊野古道の植物観察,イベント,3月3日（日）10:00～15:00,本宮地区（田辺市）,小学5年生以上（小学生は保護者同伴）,30人（抽選）,,2月17日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,恐竜をさがせ！！,イベント,3月10日（日）13:00～16:00,山本地区（広川町）,小学生以上（小学生は保護者同伴）,80人（抽選）,,2月24日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,巨大アンモナイトをさがせ！！,イベント,3月24日（日）13:00～16:00,栖原地区（湯浅町）,小学生以上（小学生は保護者同伴）,80人（抽選）,,3月10日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,2月16・23日、3月9日いずれも土曜14:00～、3月2日（土）11:00～,,乳幼児・小学生とその保護者 ,40人（先着順）,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,季節のおはなし会,イベント,2月20日（水）10:30～、11:00～,,乳幼児とその保護者,40人（先着順）,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,3月1日（金）12:00～12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,古典学習セミナー「源氏物語を楽しむ(全3回)」,イベント,(1)2月24日(2)3月10日(3)24日いずれも日曜14:00～15:30,,小学生以上（小学生は保護者同伴）,各20人（先着順）,各200円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,早春の洋ラン展 ,展示,月9日（土）～11日（祝）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,洋ランの育て方教室,イベント,2月10日（日）9:30～12:00,,,36人（先着順）,300円 ,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,2月の寄せ植え教室,イベント,2月10日（日）10:30～12:00,,,40人（先着順）,"1,800円",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,古典植物と山野草展,展示,3月9日（土）～10日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,セッコク・富貴ラン植替え教室,イベント,3月9日（土）～10日（日）,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)2月6日（水）・10日（日）・24日（日）、3月2日（土）・10日（日）・24日（日）　いずれも11:00～(2)2月18日（月）(3)2月28日（木）いずれも11:00～,(1)県動物愛護センター(2)新宮保健所串本支所（串本町）(3)湯浅保健所,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
